,canonical m-type
0,IN_dend_0_ax_0
1,IN_dend_0_ax_1
2,IN_dend_0_ax_2
3,IN_dend_0_ax_3
4,IN_dend_0_ax_4
5,IN_dend_0_ax_5
6,IN_dend_0_ax_6
7,IN_dend_0_ax_7
8,IN_dend_0_ax_8
9,IN_dend_0_ax_9
10,IN_dend_1_ax_0
11,IN_dend_1_ax_1
12,IN_dend_1_ax_2
13,IN_dend_1_ax_3
14,IN_dend_1_ax_4
15,IN_dend_1_ax_5
16,IN_dend_1_ax_6
17,IN_dend_1_ax_7
18,IN_dend_1_ax_8
19,IN_dend_1_ax_9
20,IN_dend_2_ax_0
21,IN_dend_2_ax_1
22,IN_dend_2_ax_2
23,IN_dend_2_ax_3
24,IN_dend_2_ax_4
25,IN_dend_2_ax_5
26,IN_dend_2_ax_6
27,IN_dend_2_ax_7
28,IN_dend_2_ax_8
29,IN_dend_2_ax_9
30,IN_dend_3_ax_0
31,IN_dend_3_ax_1
32,IN_dend_3_ax_2
33,IN_dend_3_ax_3
34,IN_dend_3_ax_4
35,IN_dend_3_ax_5
36,IN_dend_3_ax_6
37,IN_dend_3_ax_7
38,IN_dend_3_ax_8
39,IN_dend_3_ax_9
40,IN_dend_4_ax_0
41,IN_dend_4_ax_1
42,IN_dend_4_ax_2
43,IN_dend_4_ax_3
44,IN_dend_4_ax_4
45,IN_dend_4_ax_5
46,IN_dend_4_ax_6
47,IN_dend_4_ax_7
48,IN_dend_4_ax_8
49,IN_dend_4_ax_9
50,IN_dend_5_ax_0
51,IN_dend_5_ax_1
52,IN_dend_5_ax_2
53,IN_dend_5_ax_3
54,IN_dend_5_ax_4
55,IN_dend_5_ax_5
56,IN_dend_5_ax_6
57,IN_dend_5_ax_7
58,IN_dend_5_ax_8
59,IN_dend_5_ax_9
60,IN_dend_6_ax_0
61,IN_dend_6_ax_1
62,IN_dend_6_ax_2
63,IN_dend_6_ax_3
64,IN_dend_6_ax_4
65,IN_dend_6_ax_5
66,IN_dend_6_ax_6
67,IN_dend_6_ax_7
68,IN_dend_6_ax_8
69,IN_dend_6_ax_9
70,IN_dend_7_ax_0
71,IN_dend_7_ax_1
72,IN_dend_7_ax_2
73,IN_dend_7_ax_3
74,IN_dend_7_ax_4
75,IN_dend_7_ax_5
76,IN_dend_7_ax_6
77,IN_dend_7_ax_7
78,IN_dend_7_ax_8
79,IN_dend_7_ax_9
80,IN_dend_8_ax_0
81,IN_dend_8_ax_1
82,IN_dend_8_ax_2
83,IN_dend_8_ax_3
84,IN_dend_8_ax_4
85,IN_dend_8_ax_5
86,IN_dend_8_ax_6
87,IN_dend_8_ax_7
88,IN_dend_8_ax_8
89,IN_dend_8_ax_9
90,IN_dend_9_ax_0
91,IN_dend_9_ax_1
92,IN_dend_9_ax_2
93,IN_dend_9_ax_3
94,IN_dend_9_ax_4
95,IN_dend_9_ax_5
96,IN_dend_9_ax_6
97,IN_dend_9_ax_7
98,IN_dend_9_ax_8
99,IN_dend_9_ax_9
100,PC_dend_0_ax_0
101,PC_dend_0_ax_1
102,PC_dend_0_ax_2
103,PC_dend_0_ax_3
104,PC_dend_0_ax_4
105,PC_dend_0_ax_5
106,PC_dend_0_ax_6
107,PC_dend_0_ax_7
108,PC_dend_0_ax_8
109,PC_dend_0_ax_9
110,PC_dend_1_ax_0
111,PC_dend_1_ax_1
112,PC_dend_1_ax_2
113,PC_dend_1_ax_3
114,PC_dend_1_ax_4
115,PC_dend_1_ax_5
116,PC_dend_1_ax_6
117,PC_dend_1_ax_7
118,PC_dend_1_ax_8
119,PC_dend_1_ax_9
120,PC_dend_2_ax_0
121,PC_dend_2_ax_1
122,PC_dend_2_ax_2
123,PC_dend_2_ax_3
124,PC_dend_2_ax_4
125,PC_dend_2_ax_5
126,PC_dend_2_ax_6
127,PC_dend_2_ax_7
128,PC_dend_2_ax_8
129,PC_dend_2_ax_9
130,PC_dend_3_ax_0
131,PC_dend_3_ax_1
132,PC_dend_3_ax_2
133,PC_dend_3_ax_3
134,PC_dend_3_ax_4
135,PC_dend_3_ax_5
136,PC_dend_3_ax_6
137,PC_dend_3_ax_7
138,PC_dend_3_ax_8
139,PC_dend_3_ax_9
140,PC_dend_4_ax_0
141,PC_dend_4_ax_1
142,PC_dend_4_ax_2
143,PC_dend_4_ax_3
144,PC_dend_4_ax_4
145,PC_dend_4_ax_5
146,PC_dend_4_ax_6
147,PC_dend_4_ax_7
148,PC_dend_4_ax_8
149,PC_dend_4_ax_9
150,PC_dend_5_ax_0
151,PC_dend_5_ax_1
152,PC_dend_5_ax_2
153,PC_dend_5_ax_3
154,PC_dend_5_ax_4
155,PC_dend_5_ax_5
156,PC_dend_5_ax_6
157,PC_dend_5_ax_7
158,PC_dend_5_ax_8
159,PC_dend_5_ax_9
160,PC_dend_6_ax_0
161,PC_dend_6_ax_1
162,PC_dend_6_ax_2
163,PC_dend_6_ax_3
164,PC_dend_6_ax_4
165,PC_dend_6_ax_5
166,PC_dend_6_ax_6
167,PC_dend_6_ax_7
168,PC_dend_6_ax_8
169,PC_dend_6_ax_9
170,PC_dend_7_ax_0
171,PC_dend_7_ax_1
172,PC_dend_7_ax_2
173,PC_dend_7_ax_3
174,PC_dend_7_ax_4
175,PC_dend_7_ax_5
176,PC_dend_7_ax_6
177,PC_dend_7_ax_7
178,PC_dend_7_ax_8
179,PC_dend_7_ax_9
180,PC_dend_8_ax_0
181,PC_dend_8_ax_1
182,PC_dend_8_ax_2
183,PC_dend_8_ax_3
184,PC_dend_8_ax_4
185,PC_dend_8_ax_5
186,PC_dend_8_ax_6
187,PC_dend_8_ax_7
188,PC_dend_8_ax_8
189,PC_dend_8_ax_9
190,PC_dend_9_ax_0
191,PC_dend_9_ax_1
192,PC_dend_9_ax_2
193,PC_dend_9_ax_3
194,PC_dend_9_ax_4
195,PC_dend_9_ax_5
196,PC_dend_9_ax_6
197,PC_dend_9_ax_7
198,PC_dend_9_ax_8
199,PC_dend_9_ax_9
